"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Homer2",1.69338190705833e-09,0.0432345749336058,0.101,0.071,4.74113066338191e-05,"Homer2"
"Aacs",1.72685753462728e-09,0.0441512296995069,0.126,0.093,4.83485572544945e-05,"Aacs"
"Mgat4b",1.90315447313755e-09,0.0511256382799601,0.116,0.085,5.32845189389052e-05,"Mgat4b"
"Itgav",1.92177599607075e-09,-0.0560335701789357,0.077,0.111,5.38058843379889e-05,"Itgav"
"Ski",1.93323180779651e-09,0.0623015371560594,0.184,0.146,5.41266241546867e-05,"Ski"
"Fam126a",1.94161955610893e-09,0.0451001784836766,0.101,0.073,5.43614643319377e-05,"Fam126a"
"Dusp1",1.97649416136008e-09,-0.202173124996609,0.299,0.342,5.53378835297595e-05,"Dusp1"
"Vhl",2.01750790923784e-09,0.0559076637235038,0.157,0.121,5.64861864428411e-05,"Vhl"
"Prpsap1",2.04166159790936e-09,0.0776650395224432,0.384,0.335,5.71624414182663e-05,"Prpsap1"
"Clcc1",2.05133756191678e-09,0.0714282527048802,0.264,0.22,5.74333490585459e-05,"Clcc1"
"Trp53inp2",2.05995299049706e-09,0.0450027817361198,0.138,0.104,5.76745638279368e-05,"Trp53inp2"
"Sptssa",2.10009879837522e-09,0.102593375503125,0.586,0.543,5.87985661569095e-05,"Sptssa"
"Rnf38",2.12119937632259e-09,0.0434917989594231,0.107,0.077,5.93893401382798e-05,"Rnf38"
"Prosc",2.13168115464449e-09,0.0703601133813572,0.358,0.306,5.96828089677364e-05,"Prosc"
"Il1rap",2.31001631138705e-09,-0.0669078849877957,0.134,0.176,6.46758366862145e-05,"Il1rap"
"Ddx23",2.31647627312055e-09,0.0450639316301191,0.1,0.071,6.48567026948292e-05,"Ddx23"
"Prdx1",2.34322461744336e-09,0.0732605523835415,0.897,0.894,6.56056028391792e-05,"Prdx1"
"Ubash3b",2.39527795588575e-09,0.0811325115394242,0.133,0.101,6.70629922088893e-05,"Ubash3b"
"Cdk19",2.41458250831683e-09,-0.062509073632725,0.087,0.122,6.76034810678547e-05,"Cdk19"
"Afg3l1",2.46890594978997e-09,0.073464247633992,0.274,0.23,6.91244287822196e-05,"Afg3l1"
"Kdm5d",2.50127751683313e-09,0.0493025533683744,0.108,0.078,7.00307679162939e-05,"Kdm5d"
"Dmwd",2.56505152336116e-09,0.068422187159956,0.274,0.228,7.18163125510657e-05,"Dmwd"
"Sppl2a",2.67041002962546e-09,0.0596889398539781,0.209,0.168,7.47661400094536e-05,"Sppl2a"
"Cdh10",2.67097030300284e-09,0.0758041285913063,0.241,0.198,7.47818265434736e-05,"Cdh10"
"Rnaseh1",2.67867835463639e-09,0.0461573409784808,0.123,0.091,7.49976365731095e-05,"Rnaseh1"
"Rftn1",2.86516600027477e-09,0.0614719581879797,0.252,0.207,8.0218917675693e-05,"Rftn1"
"Ppm1d",2.91735065685475e-09,0.054831982060998,0.161,0.125,8.16799836906193e-05,"Ppm1d"
"Patl1",2.93255752088926e-09,0.0464150897939337,0.108,0.079,8.21057454698576e-05,"Patl1"
"Msi1",2.93552629674842e-09,0.0431646217603552,0.116,0.085,8.21888652563622e-05,"Msi1"
"Pex16",3.04706228671499e-09,0.0558774570779405,0.196,0.156,8.53116499034461e-05,"Pex16"
"Cep104",3.13260160477253e-09,0.0506204135076271,0.152,0.116,8.77065797304212e-05,"Cep104"
"Rbbp9",3.16178727639428e-09,0.0595050433918097,0.196,0.156,8.85237201644871e-05,"Rbbp9"
"Tceb3",3.19132499735864e-09,0.064835674800204,0.184,0.146,8.93507172760472e-05,"Tceb3"
"Nbn",3.21537352421552e-09,0.0472086810566772,0.1,0.072,9.00240279309861e-05,"Nbn"
"Sulf2",3.27920631187935e-09,-0.0994347174598973,0.168,0.209,9.1811218319998e-05,"Sulf2"
"Rbm22",3.3319830558291e-09,0.0708512070047393,0.354,0.304,9.32888615971033e-05,"Rbm22"
"Nubp1",3.47062053401889e-09,0.050959544917815,0.113,0.084,9.71704337114608e-05,"Nubp1"
"Gcdh",3.56809293103763e-09,0.0478169432805426,0.139,0.105,9.98994658831917e-05,"Gcdh"
"Rbl2",3.707497311169e-09,0.0549353361767862,0.159,0.124,0.00010380250971811,"Rbl2"
"Srebf1",3.83045565765687e-09,-0.0563663416414938,0.071,0.102,0.000107245097503077,"Srebf1"
"Lrrc58",3.8915049202555e-09,0.0601350292325991,0.673,0.622,0.000108954354757313,"Lrrc58"
"Rela",4.07317757708618e-09,-0.0571146646431942,0.078,0.111,0.000114040825803259,"Rela"
"BC017643",4.17692575053479e-09,0.0431892732055026,0.128,0.095,0.000116945567163473,"BC017643"
"Psph",4.20112747894202e-09,-0.0779866206089418,0.128,0.165,0.000117623167155419,"Psph"
"Pus3",4.20228852372794e-09,0.0435387367389092,0.102,0.074,0.000117655674087335,"Pus3"
"Emc8",4.36137090152986e-09,0.0638307285617111,0.309,0.262,0.000122109662501033,"Emc8"
"Faap100",4.37586615043102e-09,0.043857402079279,0.125,0.093,0.000122515500479768,"Faap100"
