"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Spg21",6.16696490666028e-11,0.20465593787751,0.429,0.322,1.72662683456675e-06,"Spg21"
"Ptpn11",6.26538297997970e-11,0.193965431967898,0.534,0.418,1.75418192673472e-06,"Ptpn11"
"Ing4",6.29654458809692e-11,0.166029689400883,0.364,0.253,1.76290655377538e-06,"Ing4"
"Thap11",6.30135289012577e-11,0.152373646720232,0.303,0.201,1.76425278217741e-06,"Thap11"
"Ap3s2",6.32974279099799e-11,0.142396253559114,0.263,0.168,1.77220138662362e-06,"Ap3s2"
"Mzf1",6.34247875299633e-11,0.0910244342939684,0.11,0.052,1.77576720126391e-06,"Mzf1"
"Lmo1",6.34279143590512e-11,0.183451192642373,0.187,0.109,1.77585474622471e-06,"Lmo1"
"Tsr3",6.39978001528233e-11,0.184595442178495,0.329,0.229,1.79181040867875e-06,"Tsr3"
"Dab1",6.48536505628094e-11,0.165153276727007,0.274,0.178,1.81577250845754e-06,"Dab1"
"Nop16",6.5556628293887e-11,0.142423325392642,0.24,0.15,1.83545447897225e-06,"Nop16"
"Stk38",6.63405829834633e-11,0.161940032336306,0.282,0.185,1.85740364237101e-06,"Stk38"
"Prr12",6.65221422958763e-11,0.119438735172403,0.21,0.125,1.86248693999995e-06,"Prr12"
"Gclm",6.78756988070227e-11,0.197745336886321,0.533,0.418,1.90038381519902e-06,"Gclm"
"Hace1",6.80207685647171e-11,0.13606755666046,0.244,0.152,1.90444547827495e-06,"Hace1"
"Ago1",6.8465240543666e-11,0.118872842045049,0.233,0.142,1.91688980474156e-06,"Ago1"
"Ufl1",6.96006401037923e-11,0.204497415524364,0.455,0.348,1.94867872162598e-06,"Ufl1"
"Hirip3",6.99753285761498e-11,0.14633531190832,0.265,0.169,1.95916924947504e-06,"Hirip3"
"Zfp931",7.03313277877471e-11,0.146739383592885,0.248,0.156,1.96913651540134e-06,"Zfp931"
"Bysl",7.04341243828496e-11,0.122916363052592,0.187,0.108,1.97201461447102e-06,"Bysl"
"Lingo1",7.16068641895495e-11,0.142402128164173,0.32,0.213,2.00484898357901e-06,"Lingo1"
"Csnk1g2",7.18790470748904e-11,0.132970132517413,0.236,0.146,2.01246956000278e-06,"Csnk1g2"
"Crocc",7.21683077961518e-11,0.108033496686834,0.183,0.104,2.02056828167666e-06,"Crocc"
"Vps13d",7.22245603691092e-11,0.11509499374682,0.207,0.122,2.02214324121432e-06,"Vps13d"
"Nkd1",7.28945054099857e-11,-0.172397679294368,0.073,0.169,2.04090036246878e-06,"Nkd1"
"Supt3",7.32778395805428e-11,0.152297234050946,0.221,0.136,2.05163295257604e-06,"Supt3"
