"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Pqlc1",0.00307875299722734,0.153302233596674,0.21,0.109,1,"Pqlc1"
"Otud5",0.00308954777788619,0.14663227465158,0.284,0.161,1,"Otud5"
"Cited4",0.00309721982225919,0.193806958562232,0.148,0.067,1,"Cited4"
"Slf1",0.00309837400552219,0.214569803950209,0.333,0.201,1,"Slf1"
"Ccng2",0.00310280428121578,0.273142522878399,0.259,0.151,1,"Ccng2"
"Frmd4a",0.00310679800235741,0.149025393645155,0.469,0.306,1,"Frmd4a"
"Zfp68",0.00311834832934149,0.184719100137174,0.309,0.185,1,"Zfp68"
"Gm28050",0.00312128571823899,0.170982524216185,0.16,0.075,1,"Gm28050"
"Uggt2",0.0031226947844294,0.186281660599067,0.259,0.148,1,"Uggt2"
"Poldip2",0.00312666946469515,0.290912738244069,0.494,0.38,1,"Poldip2"
"Crnkl1",0.0031298878755425,0.230810365996229,0.247,0.139,1,"Crnkl1"
"Mrpl9",0.00313274183840261,0.245315851849256,0.321,0.198,1,"Mrpl9"
"Ebna1bp2",0.00314091223226997,0.2386180071007,0.469,0.329,1,"Ebna1bp2"
"Gtpbp4",0.0031438838753422,0.221913430797894,0.519,0.368,1,"Gtpbp4"
"Tada1",0.00314391357663339,0.220769948228263,0.432,0.288,1,"Tada1"
"Ddx17",0.00314851090828102,0.236760728286227,0.58,0.442,1,"Ddx17"
"Large",0.00315246905601486,0.221950337680913,0.259,0.149,1,"Large"
"Paip2b",0.00315705441049961,0.179254694415593,0.346,0.215,1,"Paip2b"
"Vps4b",0.00316033141209611,0.231063882254934,0.481,0.333,1,"Vps4b"
"Rnf216",0.00316302038383968,0.186283718198414,0.333,0.206,1,"Rnf216"
"2610301B20Rik",0.00319953973043026,0.261104167359227,0.444,0.302,1,"2610301B20Rik"
"Ccdc28a",0.00319953985956293,0.295762215249274,0.346,0.219,1,"Ccdc28a"
"Tmem178b",0.00320213043698267,0.243512309223799,0.358,0.233,1,"Tmem178b"
"Tmem74b",0.00320903762160159,0.0909640501583271,0.123,0.051,1,"Tmem74b"
"Rc3h2",0.00321507138761866,0.138654700653536,0.444,0.278,1,"Rc3h2"
"Tpgs1",0.00322286772714463,0.360251833421358,0.593,0.488,1,"Tpgs1"
"Kat5",0.00322928087968117,0.161018381753953,0.395,0.25,1,"Kat5"
"Clybl",0.00322929872627311,0.129591988847006,0.222,0.116,1,"Clybl"
"Coq10b",0.00324321115785764,0.203143982716046,0.432,0.285,1,"Coq10b"
"Kin",0.00324656674512342,0.137566237351235,0.296,0.169,1,"Kin"
"Fam229b",0.00325348754387801,0.225771924853494,0.321,0.198,1,"Fam229b"
"Scaf11",0.0032715327757743,0.272827876048355,0.63,0.495,1,"Scaf11"
"Tbcb",0.00327203780728041,0.39930760882401,0.691,0.609,1,"Tbcb"
"Dr1",0.00329904898955594,0.155533591890421,0.272,0.153,1,"Dr1"
"AI413582",0.00331043530379634,0.327771882332616,0.568,0.437,1,"AI413582"
"Abcc10",0.00331165279251397,0.11416220524392,0.148,0.067,1,"Abcc10"
"Eif2s3x",0.0033141025023355,0.327309019660747,0.457,0.316,1,"Eif2s3x"
"Slc25a28",0.00331630142091966,0.144251919084829,0.235,0.126,1,"Slc25a28"
"RP24-236C17.3",0.00331746884227458,0.160844315906606,0.173,0.085,1,"RP24-236C17.3"
"Fam13b",0.00331870822413172,0.176069260519761,0.272,0.156,1,"Fam13b"
"Rpn1",0.00332769525371186,0.257049256475634,0.679,0.529,1,"Rpn1"
"Smc5",0.0033372061815359,0.330463117840843,0.395,0.262,1,"Smc5"
"1810030O07Rik",0.00335192424157765,0.14303686678242,0.247,0.135,1,"1810030O07Rik"
"Esyt2",0.00335933450637082,0.112584419675996,0.222,0.115,1,"Esyt2"
"Jun",0.00336613242630594,0.845367849848919,0.63,0.539,1,"Jun"
"Dmxl1",0.00336788832843554,0.176743753645294,0.457,0.302,1,"Dmxl1"
"Begain",0.00337581962614061,0.139823740692102,0.309,0.179,1,"Begain"
"Fam183b",0.00338806254066313,0.237677175550736,0.272,0.158,1,"Fam183b"
"2510009E07Rik",0.00339649983619154,0.141488810854977,0.259,0.144,1,"2510009E07Rik"
"Clk4",0.00340728045177061,0.293643300250014,0.506,0.38,1,"Clk4"
"Nrip2",0.00340939786756131,0.22794024863179,0.346,0.212,1,"Nrip2"
"Nemf",0.0034101140325113,0.272856867076738,0.543,0.404,1,"Nemf"
"Fam185a",0.00342089982759434,0.106775178976268,0.123,0.052,1,"Fam185a"
"Rgl1",0.00342945314960732,0.160704225914847,0.247,0.137,1,"Rgl1"
"Pbdc1",0.00343065595900023,0.281164499803033,0.444,0.323,1,"Pbdc1"
"Zmym1",0.00344066146206894,0.162564623943414,0.198,0.102,1,"Zmym1"
"Gfra4",0.00344550906625759,0.211176606675826,0.37,0.236,1,"Gfra4"
"Ldhd",0.00345761277997307,0.109808572563375,0.136,0.059,1,"Ldhd"
"Rspry1",0.00347712508797537,0.144908672606408,0.333,0.199,1,"Rspry1"
"Gm2464",0.00347728384715965,0.12007923482647,0.136,0.059,1,"Gm2464"
"Rrp7a",0.00347782735332837,0.314295090065724,0.494,0.363,1,"Rrp7a"
"Rfesd",0.00348088236405333,0.175839837307235,0.222,0.119,1,"Rfesd"
"Opa1",0.00349825827970895,0.249985747119271,0.469,0.335,1,"Opa1"
"Med25",0.00350151569045784,0.206063835245744,0.432,0.291,1,"Med25"
"Kctd10",0.00350719100784756,0.159827388920631,0.259,0.143,1,"Kctd10"
"Cntn5",0.00350775869654634,0.166502040735397,0.235,0.127,1,"Cntn5"
"Pelo",0.00351575941827293,0.288201870004958,0.272,0.164,1,"Pelo"
"Zbtb11os1",0.00352085875355289,0.147799587608627,0.185,0.092,1,"Zbtb11os1"
"Tatdn1",0.00353741392066436,0.120005302296756,0.173,0.083,1,"Tatdn1"
"Pigk",0.00354679774528142,0.255272708308345,0.506,0.366,1,"Pigk"
"Ackr1",0.00356628800861074,0.102485061610704,0.173,0.082,1,"Ackr1"
"Rbp1",0.0035785846159155,0.1827413373469,0.136,0.06,1,"Rbp1"
"Idnk",0.00360318314203783,0.253203577834921,0.333,0.208,1,"Idnk"
"Add1",0.00360355645935766,0.196869301403034,0.63,0.474,1,"Add1"
"Rer1",0.00361136072267733,0.337459692520174,0.654,0.559,1,"Rer1"
"Casp2",0.00361198978690989,0.0871656608770329,0.111,0.044,1,"Casp2"
"Srsf4",0.00361556153379106,0.20125538948631,0.444,0.301,1,"Srsf4"
"Oxld1",0.00361969235034266,0.104813662642982,0.173,0.082,1,"Oxld1"
"H2afv",0.0036224746269803,0.378140656404541,0.543,0.466,1,"H2afv"
"Nmd3",0.00364521546150063,0.182744466316486,0.395,0.249,1,"Nmd3"
"Mterf2",0.00364565717648388,0.188385765313476,0.222,0.12,1,"Mterf2"
"Ptdss1",0.00365023714795479,0.264403406551737,0.383,0.262,1,"Ptdss1"
"Unc79",0.00365532293101656,0.176368498131765,0.222,0.121,1,"Unc79"
"Dpm3",0.00366052560691153,0.266355779059597,0.617,0.486,1,"Dpm3"
"Ccnl1",0.00366361325692581,0.265794357756428,0.543,0.43,1,"Ccnl1"
"9530082P21Rik",0.00367023930507895,0.102047211403365,0.111,0.045,1,"9530082P21Rik"
"Fndc3a",0.00368304531277259,0.307810162507319,0.543,0.412,1,"Fndc3a"
"Zfp451",0.00368315827399456,0.2445620586587,0.457,0.319,1,"Zfp451"
"Jmjd1c",0.00368704464885256,0.355393857593979,0.506,0.397,1,"Jmjd1c"
"E2f6",0.00368987107893748,0.133105895495187,0.21,0.109,1,"E2f6"
"Ciapin1",0.00369430143076211,0.234396360960914,0.432,0.293,1,"Ciapin1"
"Enkd1",0.00369521628143729,0.0917090514869862,0.123,0.052,1,"Enkd1"
"Arc",0.00369904427389522,0.775966153815829,0.235,0.136,1,"Arc"
"Gtf2ird1",0.00370028955377882,0.181334574705772,0.235,0.128,1,"Gtf2ird1"
"Parl",0.00370578511382486,0.266408684457123,0.481,0.332,1,"Parl"
"Snapc2",0.00371592571037879,0.152704314877972,0.272,0.155,1,"Snapc2"
"Mrpl48",0.00371805254812338,0.367594273939946,0.605,0.525,1,"Mrpl48"
"Strada",0.00371923522907465,0.115110751074676,0.148,0.067,1,"Strada"
"Akap7",0.00371925411042656,0.253822486167385,0.358,0.226,1,"Akap7"
"Gm20498",0.00374987434768672,0.117549650570443,0.173,0.083,1,"Gm20498"
"Dync1li2",0.00375329802306265,0.257859602279131,0.543,0.407,1,"Dync1li2"
"Cnot2",0.00376456154879038,0.222790509208718,0.383,0.251,1,"Cnot2"
"BC022687",0.0037844031276874,0.174226868044169,0.185,0.095,1,"BC022687"
"Fam171a1",0.00379004192922292,0.153872588477336,0.235,0.128,1,"Fam171a1"
"Wdr17",0.00379486265441288,0.130688330168973,0.235,0.126,1,"Wdr17"
"Map7d1",0.00379865832486317,0.176981444935889,0.728,0.556,1,"Map7d1"
"Hspa13",0.00380181186270209,0.195220884111337,0.42,0.276,1,"Hspa13"
"Chac1",0.0038026490891325,0.131558265912664,0.111,0.045,1,"Chac1"
"Idi1",0.00380316952428562,0.221515785352104,0.457,0.31,1,"Idi1"
"2810001G20Rik",0.00381567198158753,0.243956028803953,0.284,0.175,1,"2810001G20Rik"
"Ndufaf1",0.00382575194367058,0.221045986890485,0.259,0.152,1,"Ndufaf1"
"Stambp",0.00383085631757356,0.208858962665249,0.457,0.308,1,"Stambp"
"4930453N24Rik",0.00384194106016655,0.181003860862245,0.296,0.173,1,"4930453N24Rik"
"Stx4a",0.00384803786567039,0.280839929664688,0.519,0.362,1,"Stx4a"
"Fstl4",0.00385361247163734,0.132794805950448,0.136,0.06,1,"Fstl4"
"Arhgap27os2",0.00386871871776108,0.0844289358936296,0.111,0.044,1,"Arhgap27os2"
"Bloc1s3",0.00388555634841014,0.10200306191087,0.111,0.045,1,"Bloc1s3"
"Gas8",0.00390255150841901,0.162876786923416,0.222,0.12,1,"Gas8"
"Galnt11",0.00390712105054211,0.19244313771932,0.395,0.256,1,"Galnt11"
"Vps37d",0.00390982494249292,0.118565275421179,0.173,0.084,1,"Vps37d"
"Zfp692",0.00391688044807802,0.192087227758671,0.222,0.122,1,"Zfp692"
"C530008M17Rik",0.00391897087143169,0.263743419656248,0.383,0.255,1,"C530008M17Rik"
"Gm14295",0.00391963072763019,0.205466288900876,0.284,0.167,1,"Gm14295"
"Nfil3",0.00393293941065367,0.1484819591571,0.16,0.077,1,"Nfil3"
"Fam110a",0.00393547320424336,0.153549559813609,0.198,0.102,1,"Fam110a"
"Myo6",0.00395051577389034,-0.323880791021785,0.148,0.296,1,"Myo6"
"Maoa",0.00395122211508662,0.15296787295146,0.358,0.222,1,"Maoa"
"Sec22a",0.00395398638362491,0.189323612538606,0.321,0.195,1,"Sec22a"
"Rad51d",0.00396635769878702,0.119962928042692,0.173,0.084,1,"Rad51d"
"Lgalsl",0.00397270429503919,0.21297526803545,0.346,0.216,1,"Lgalsl"
"D430036J16Rik",0.00397314539712882,0.152367983511917,0.111,0.045,1,"D430036J16Rik"
"Pnoc",0.00397346150227432,0.30864385226838,0.284,0.167,1,"Pnoc"
"Pgam5",0.00397348565582477,0.184352599176326,0.321,0.196,1,"Pgam5"
"Csnk2a2",0.00397835810013567,0.0863705928654828,0.111,0.045,1,"Csnk2a2"
"Brd3",0.00398548702942263,0.2011071227098,0.469,0.326,1,"Brd3"
"Zfp354c",0.00399350571864137,0.149610859802742,0.247,0.137,1,"Zfp354c"
"Rpl13-ps3",0.00399755407281725,0.250361384199446,0.519,0.382,1,"Rpl13-ps3"
"Cul4a",0.00403264188770323,0.215201058466299,0.346,0.221,1,"Cul4a"
"Abca3",0.00403336533273456,0.115671121516877,0.247,0.134,1,"Abca3"
"Rps18-ps3",0.00403494803013373,0.277382325872248,0.605,0.48,1,"Rps18-ps3"
"Dnmt3a",0.00403964687662104,0.206220943739838,0.481,0.341,1,"Dnmt3a"
"Col6a1",0.00406081653633115,0.136325558904822,0.16,0.075,1,"Col6a1"
"A230087F16Rik",0.00406815854034716,0.0840321005064791,0.111,0.045,1,"A230087F16Rik"
"Pdk1",0.00407887339001555,0.212888038708323,0.222,0.122,1,"Pdk1"
"Prkar2a",0.00409642510876827,0.194408425759823,0.457,0.304,1,"Prkar2a"
"Osbp2",0.00410473612563706,0.109938879661949,0.136,0.06,1,"Osbp2"
"Dars2",0.00410826038631546,0.114507058846826,0.148,0.068,1,"Dars2"
"Samd8",0.00411147157566648,0.199678966074824,0.321,0.2,1,"Samd8"
"Raf1",0.00411801155618473,0.161845991336773,0.432,0.281,1,"Raf1"
"Tpm3-rs7",0.00411974435404442,0.12377650597825,0.222,0.118,1,"Tpm3-rs7"
"Gatsl2",0.00413573852519996,0.140207569178176,0.333,0.2,1,"Gatsl2"
"Nsrp1",0.00413926839600599,0.246634601061511,0.481,0.351,1,"Nsrp1"
"Vegfb",0.00413978280031167,0.241512335582146,0.358,0.235,1,"Vegfb"
"Hsf4",0.00414150696447826,0.138072062597603,0.185,0.093,1,"Hsf4"
"Zkscan2",0.00415846448208121,0.157613374124238,0.16,0.078,1,"Zkscan2"
"Parg",0.00416234834146866,0.149556675198162,0.333,0.202,1,"Parg"
"Xrn2",0.00416600703999611,0.193348207819609,0.481,0.332,1,"Xrn2"
"Chl1",0.00416900198236611,0.320506770696016,0.494,0.355,1,"Chl1"
"Zfp286",0.00417206367087377,0.100392529373926,0.16,0.075,1,"Zfp286"
"Ddx46",0.00417217698408635,0.243662522674252,0.457,0.322,1,"Ddx46"
"Cmtr1",0.00417275548807196,0.107516549919174,0.185,0.092,1,"Cmtr1"
"Gstt1",0.00417618423301696,0.0944279782881876,0.16,0.075,1,"Gstt1"
"Garnl3",0.00417769512638667,0.217714847427384,0.235,0.133,1,"Garnl3"
"Galnt18",0.00418082451475684,0.120598672573708,0.185,0.092,1,"Galnt18"
"Zfyve28",0.00419574661277133,0.130985164331995,0.111,0.046,1,"Zfyve28"
"Imp4",0.0042028140320748,0.135903111771088,0.309,0.181,1,"Imp4"
"Gm10600",0.00421525438262964,0.151405329316284,0.136,0.061,1,"Gm10600"
"Tgds",0.00422361775103773,0.0865914011431366,0.111,0.045,1,"Tgds"
"Rbm33",0.00423263300419973,0.148788753467834,0.358,0.221,1,"Rbm33"
"Wdr54",0.00423405617330243,0.222806578633584,0.284,0.169,1,"Wdr54"
"Ccdc186",0.00423498896946295,0.275476838646124,0.407,0.279,1,"Ccdc186"
"Gm10320",0.00425358658154847,0.146250485887961,0.185,0.094,1,"Gm10320"
"Tmem121",0.0042554501749039,0.168806777834721,0.383,0.242,1,"Tmem121"
"Dusp18",0.0042631359224512,0.20713073903511,0.235,0.132,1,"Dusp18"
"Macrod1",0.00427083215299452,0.184896386738224,0.222,0.121,1,"Macrod1"
"Wdr7",0.00427410060788928,0.146497173091263,0.358,0.217,1,"Wdr7"
"Amdhd2",0.00427964904940286,0.17520299053438,0.272,0.16,1,"Amdhd2"
"Ppip5k1",0.00428212195211202,0.242041973206358,0.296,0.184,1,"Ppip5k1"
"Asl",0.00428536254291959,0.225002292050008,0.309,0.192,1,"Asl"
"Rgag4",0.00429861868551296,0.151176668869888,0.272,0.156,1,"Rgag4"
"Ikzf4",0.00430691439833638,0.0901318566298743,0.123,0.052,1,"Ikzf4"
"Wsb2",0.00431347288452883,0.190645593965865,0.395,0.261,1,"Wsb2"
"Mtcl1",0.00431586638968988,0.131907874219407,0.173,0.084,1,"Mtcl1"
"Polr3f",0.00432377427361672,0.140350619039267,0.247,0.137,1,"Polr3f"
"Vimp",0.00433724492835164,0.309538958520294,0.63,0.533,1,"Vimp"
"Kcnj9",0.00434525937656825,0.195526755702189,0.272,0.157,1,"Kcnj9"
"Hpcal1",0.0043576431555058,0.779058896197387,0.481,0.359,1,"Hpcal1"
"Sft2d3",0.00435860842822197,0.235028302011948,0.247,0.144,1,"Sft2d3"
"Pank4",0.00436152069681685,0.107474540891264,0.185,0.092,1,"Pank4"
"Slc6a15",0.00436968585205078,0.229374810728056,0.309,0.191,1,"Slc6a15"
"Ttc13",0.00437699598078748,0.128440078084933,0.247,0.136,1,"Ttc13"
"Amer1",0.0043804128098898,0.0851346906591096,0.111,0.045,1,"Amer1"
"Commd1",0.0044019926866612,0.234483710565475,0.531,0.397,1,"Commd1"
"Tfpt",0.00440822783840556,0.161439564018851,0.346,0.213,1,"Tfpt"
"Tmem178",0.00441458745673705,0.138743724076212,0.185,0.093,1,"Tmem178"
"Sec23a",0.00442684704198937,0.162708374450406,0.457,0.305,1,"Sec23a"
